NOM	CODE_COM	POP_TOT	POP_MAS	POP_FEM
TAISNIERES-EN-THIERACHE	59583	466	230	236
TAISNIERES-SUR-HON	59584	926	475	451
TEMPLEMARS	59585	3158	1484	1674
TEMPLEUVE	59586	5786	2783	3003
TERDEGHEM	59587	554	281	273
TETEGHEM	59588	7072	3508	3564
THIANT	59589	2560	1232	1328
THIENNES	59590	796	393	403
THIVENCELLE	59591	820	409	411
THUMERIES	59592	3916	1955	1961
THUN-L'EVEQUE	59593	658	326	332
THUN-SAINT-AMAND	59594	1136	567	569
THUN-SAINT-MARTIN	59595	531	278	253
TILLOY-LEZ-CAMBRAI	59597	589	297	292
TILLOY-LEZ-MARCHIENNES	59596	556	289	267
TOUFFLERS	59598	3989	1912	2077
TOURCOING	59599	91923	43944	47979
TOURMIGNIES	59600	687	339	348
TRELON	59601	3090	1503	1587
TRESSIN	59602	1262	622	640
TRITH-SAINT-LEGER	59603	6446	3128	3318
TROISVILLES	59604	823	408	415
UXEM	59605	1324	670	654
VALENCIENNES	59606	43335	20995	22340
VENDEGIES-AU-BOIS	59607	493	244	249
VENDEGIES-SUR-ECAILLON	59608	1121	575	546
VENDEVILLE	59609	1634	824	810
VERCHAIN-MAUGRE	59610	903	455	448
VERLINGHEM	59611	2385	1169	1216
VERTAIN	59612	467	238	229
VICQ	59613	1438	693	745
VIESLY	59614	1458	692	766
VIEUX-BERQUIN	59615	2504	1219	1285
VIEUX-CONDE	59616	10494	5002	5492
VIEUX-MESNIL	59617	577	296	281
VIEUX-RENG	59618	853	424	429
VILLENEUVE-D'ASCQ	59009	63572	30772	32800
VILLEREAU	59619	944	456	488
VILLERS-AU-TERTRE	59620	608	293	315
VILLERS-EN-CAUCHIES	59622	1247	624	624
VILLERS-GUISLAIN	59623	726	361	365
VILLERS-OUTREAUX	59624	2182	1093	1089
VILLERS-PLOUICH	59625	414	213	201
VILLERS-POL	59626	1235	605	630
VILLERS-SIRE-NICOLE	59627	995	502	493
VOLCKERINCKHOVE	59628	503	241	262
VRED	59629	1348	670	678
WAHAGNIES	59630	2588	1246	1342
WALINCOURT-SELVIGNY	59631	2087	1002	1085
WALLERS	59632	5577	2627	2950
WALLERS-EN-FAGNE	59633	299	146	153
WALLON-CAPPEL	59634	889	460	429
WAMBAIX	59635	306	145	161
WAMBRECHIES	59636	9745	4644	5101
WANDIGNIES-HAMAGE	59637	1254	632	622
WANNEHAIN	59638	1031	510	521
WARGNIES-LE-GRAND	59639	1067	543	524
WARGNIES-LE-PETIT	59640	788	398	390
WARHEM	59641	2064	1051	1013
WARLAING	59642	566	289	277
WARNETON	59643	211	105	106
WASNES-AU-BAC	59645	573	274	299
WASQUEHAL	59646	20046	9344	10702
WATTEN	59647	2608	1204	1404
WATTIGNIES	59648	13223	6153	7070
WATTIGNIES-LA-VICTOIRE	59649	258	130	128
WATTRELOS	59650	41541	19801	21740
WAVRECHAIN-SOUS-DENAIN	59651	1638	793	845
WAVRECHAIN-SOUS-FAULX	59652	440	222	218
WAVRIN	59653	7641	3765	3876
WAZIERS	59654	7615	3660	3955
WEMAERS-CAPPEL	59655	250	124	126
WERVICQ-SUD	59656	4696	2263	2433
WEST-CAPPEL	59657	586	307	279
WICRES	59658	382	179	203
WIGNEHIES	59659	3099	1507	1592
WILLEMS	59660	3015	1525	1490
WILLIES	59661	166	82	84
WINNEZEELE	59662	1215	620	595
WORMHOUT	59663	5229	2545	2684
WULVERDINGHE	59664	287	151	136
WYLDER	59665	320	170	150
ZEGERSCAPPEL	59666	1464	741	723
ZERMEZEELE	59667	194	103	91
ZUYDCOOTE	59668	1669	801	868
ZUYTPEENE	59669	557	289	268
